Wed Mar 12 13:46:48 2025    cnv_purple_profile

         506475981 function calls (494362664 primitive calls) in 691.605 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    9.219    4.609 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/djerba-1.8.1/lib/python3.10/site-packages/lets_plot/_kbridge.py:18(_generate_svg)
  1765348    7.064    0.000    9.151    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/generic.py:278(__init__)
   244572    2.735    0.000    8.762    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/indexes/range.py:1148(take)
  1217398    1.562    0.000    8.529    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/ops/common.py:81(get_op_result_name)
   463138    1.440    0.000    8.093    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:2341(__init__)
 11907722    5.676    0.000    8.090    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/dtypes/generic.py:37(_check)
   240298    0.766    0.000    8.042    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/nanops.py:253(_get_values)
   160316    0.641    0.000    8.014    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:1472(transform)
    97020    0.226    0.000    7.431    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/artist.py:935(_set_gc_clip)
   255706    0.994    0.000    7.378    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/frame.py:4608(_box_col_values)
   493392    1.488    0.000    7.185    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/indexes/base.py:5437(_can_hold_identifiers_and_holds_name)
  6128928    4.909    0.000    7.129    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/series.py:734(name)
   487584    1.820    0.000    7.107    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
   709706    6.840    0.000    7.043    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:179(set_children)
286458/127416    0.455    0.000    6.990    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:2384(_iter_break_from_left_to_right)
    64144    0.525    0.000    6.842    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/backends/backend_cairo.py:348(set_clip_rectangle)
24956302/24954726    6.235    0.000    6.670    0.000 {built-in method builtins.getattr}
   723768    1.811    0.000    6.618    0.000 {method 'any' of 'numpy.generic' objects}
  1128136    0.902    0.000    6.610    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/numpy/_core/_methods.py:68(_all)
        2    6.601    3.301    6.601    3.301 {built-in method lets_plot_kotlin_bridge.export_svg}
  1271302    2.961    0.000    6.592    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/_config/config.py:127(_get_single_key)
2488969/2488053    2.149    0.000    6.586    0.000 {built-in method builtins.all}
226358/226036    1.644    0.000    6.465    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/oncokb-annotator-3.3.1/lib/python3.10/site-packages/matplotlib/transforms.py:365(bounds)
   975904    6.088    0.000    6.393    0.000 /.mounts/labs/gsi/modulator/sw/Ubuntu20.04/gsi-qc-etl-1.33/lib/python3.10/site-packages/pandas/core/dtypes/cast.py:550(maybe_promote)
