ENSG00000237301.1	ENSG00000237301
ENSG00000235084.3	CHCHD2P6
ENSG00000252417.1	RNU7-179P
ENSG00000236500.1	CD24P1
ENSG00000197312.13	DDI2
ENSG00000215695.2	RSC1A1
ENSG00000271742.1	ENSG00000271742
ENSG00000116786.13	PLEKHM2
ENSG00000237938.5	ENSG00000237938
ENSG00000162461.8	SLC25A34
ENSG00000224459.2	SLC25A34-AS1
ENSG00000162460.7	TMEM82
ENSG00000162458.13	FBLIM1
ENSG00000224321.1	RPL12P14
ENSG00000233954.7	UQCRHL
ENSG00000178715.8	ENSG00000178715
ENSG00000179743.4	SPEN-AS1
ENSG00000065526.13	SPEN
ENSG00000270620.1	ENSG00000270620
ENSG00000116809.12	ZBTB17
ENSG00000234607.2	ENSG00000234607
ENSG00000231353.1	ENSG00000231353
ENSG00000275503.1	ENSG00000275503
ENSG00000224966.4	TBC1D3P6
ENSG00000183888.4	SRARP
ENSG00000233078.1	ENSG00000233078
ENSG00000173641.18	HSPB7
ENSG00000186510.12	CLCNKA
ENSG00000232456.1	FAM131C2P
ENSG00000184908.20	CLCNKB
ENSG00000185519.9	FAM131C
ENSG00000142627.13	EPHA2
ENSG00000227959.2	EPHA2-AS1
ENSG00000224621.1	ENSG00000224621
ENSG00000234166.1	ARHGEF19-AS1
ENSG00000142632.17	ARHGEF19
ENSG00000291077.1	ENSG00000291077
ENSG00000237276.10	ANO7L1
ENSG00000288398.1	ENSG00000288398
ENSG00000132881.12	CPLANE2
ENSG00000233929.1	MT1XP1
ENSG00000037637.11	FBXO42
ENSG00000055070.17	SZRD1
ENSG00000226457.1	RPL22P3
ENSG00000187144.11	SPATA21
ENSG00000157191.20	NECAP2
ENSG00000226029.1	LINC01772
ENSG00000290842.1	CROCCP3
ENSG00000080947.16	CROCCP3
ENSG00000206652.1	RNU1-1
ENSG00000261135.1	ENSG00000261135
ENSG00000285853.1	ENSG00000285853
ENSG00000224174.2	ENSG00000224174
ENSG00000233421.5	LINC01783
ENSG00000277344.1	RNU1-6P
ENSG00000225710.1	PDE4DIPP8
ENSG00000219481.11	NBPF1
ENSG00000271732.1	ENSG00000271732
ENSG00000291072.1	CROCCP2
ENSG00000215908.12	CROCCP2
ENSG00000283773.1	ENSG00000283773
ENSG00000186301.8	MST1P2
ENSG00000282143.1	ENSG00000282143
ENSG00000207513.1	RNU1-3
ENSG00000280114.1	ENSG00000280114
ENSG00000236698.1	EIF1AXP1
ENSG00000290849.1	ENSG00000290849
ENSG00000268869.7	ESPNP
ENSG00000279151.1	ENSG00000279151
ENSG00000282740.1	ENSG00000282740
ENSG00000058453.17	CROCC
ENSG00000290850.1	ENSG00000290850
ENSG00000207389.1	RNU1-4
ENSG00000227684.3	CROCCP4
ENSG00000290851.1	ENSG00000290851
ENSG00000186715.12	MST1L
ENSG00000223643.6	ENSG00000223643
ENSG00000230239.1	PDE4DIPP9
ENSG00000263811.1	MIR3675
ENSG00000228549.5	ENSG00000228549
ENSG00000277234.1	RNU1-5P
ENSG00000238142.4	ENSG00000238142
ENSG00000235241.1	ENSG00000235241
ENSG00000207005.1	RNU1-2
ENSG00000272426.1	ENSG00000272426
ENSG00000290122.1	ENSG00000290122
ENSG00000117122.14	MFAP2
