sample	cell_type	score	ptile
PANX_1235_Om_M_PE_316_WT	T cell CD8+	0	0
PANX_1236_Lv_M_PE_314_WT	T cell CD8+	0.007563303	21.00840336
PANX_1248_Lv_M_PE_333_WT	T cell CD8+	0.028414372	35.29411765
PANX_1249_Lv_M_PE_329_WT	T cell CD8+	0	0
PANX_1273_Lv_M_PE_317_WT	T cell CD8+	0.020770237	29.41176471
PANX_1275_Lv_M_PE_319_WT	T cell CD8+	0.021188852	29.41176471
PANX_1288_Pm_M_PE_314_WT	T cell CD8+	0	0
PANX_1289_Lv_M_PE_318_WT	T cell CD8+	0.006119022	21.00840336
PANX_1290_Lv_M_PE_329_WT	T cell CD8+	0.00871132	23.52941176
PANX_1292_Lv_M_PE_296_WT	T cell CD8+	0.056716208	61.34453782
PANX_1292_Lv_M_PE_325_WT	T cell CD8+	0.014750803	25.21008403
PANX_1293_Lv_M_PE_287_WT	T cell CD8+	0	0
PANX_1296_Pa_P_PE_300_WT	T cell CD8+	0.094126066	72.26890756
PANX_1297_Lv_M_PE_310_WT	T cell CD8+	0	0
PANX_1302_Lv_M_PE_311_WT	T cell CD8+	0.101154755	76.47058824
PANX_1305_Pa_P_PE_290_WT	T cell CD8+	0	0
PANX_1306_Pm_M_PE_289_WT	T cell CD8+	0.018118965	26.8907563
PANX_1307_Lv_M_PE_292_WT	T cell CD8+	0	0
PANX_1309_Lv_M_PE_313_WT	T cell CD8+	0.141924579	84.87394958
PANX_1310_Lv_M_PE_284_WT	T cell CD8+	0	0
PANX_1311_Pa_P_PE_286_WT	T cell CD8+	0	0
PANX_1312_Lv_M_PE_316_WT	T cell CD8+	0	0
PANX_1313_Lv_M_PE_315_WT	T cell CD8+	0.012273052	23.52941176
PANX_1314_Pa_P_PE_303_WT	T cell CD8+	0	0
PANX_1315_Pm_M_PE_322_WT	T cell CD8+	0	0
PANX_1316_Lv_M_PE_295_WT	T cell CD8+	0	0
PANX_1317_Lv_M_PE_321_WT	T cell CD8+	0	0
PANX_1318_Lv_M_PE_319_WT	T cell CD8+	0.028157638	35.29411765
PANX_1333_Lv_M_PE_313_WT	T cell CD8+	0.00901682	23.52941176
PANX_1335_Lv_M_PE_281_WT	T cell CD8+	0	0
PANX_1339_Lv_M_PE_274_WT	T cell CD8+	0.018708699	26.8907563
PANX_1340_Lv_M_PE_307_WT	T cell CD8+	0.042221399	51.2605042
PANX_1341_Lv_M_PE_308_WT	T cell CD8+	0.026106271	34.45378151
PANX_1344_Om_M_PE_353_WT	T cell CD8+	0	0
PANX_1368_Lv_M_PE_305_WT	T cell CD8+	0	0
PANX_1376_Lv_M_PE_298_WT	T cell CD8+	0.080403877	68.90756303
PANX_1377_Pm_M_PE_310_WT	T cell CD8+	0.038863411	47.89915966
PANX_1378_Lv_M_PE_320_WT	T cell CD8+	0	0
PANX_1380_Lv_M_PE_322_WT	T cell CD8+	0	0
PANX_1382_Lv_M_PE_298_WT	T cell CD8+	0	0
